no_story,T1,no_span,no_bay,DI_cladire
6,0.75266,3,5,0.74848
12,1.1335,4,3,1.9187
13,0.93951,3,2,0.61424
11,1.3442,5,3,1.3598
7,0.94894,3,2,0.23514
7,0.56007,3,2,0.62064
9,0.73352,4,3,1.0084
7,0.73319,3,5,0.81355
9,0.74601,5,2,0.83697
12,1.1478,3,5,1.2019
9,0.74417,5,4,0.38681
8,0.79673,2,4,0.095382
7,0.95261,2,4,0.42752
4,0.6124,3,5,0.0
5,0.74332,5,3,0.11792
12,1.0849,4,2,1.2519
4,0.4934,4,2,0.1005
11,1.4493,2,4,0.42816
5,0.58313,5,4,0.15008
10,0.88593,2,3,0.34713
7,0.89685,3,3,0.55051
13,1.4145,5,3,0.26164
4,0.78055,3,2,0.03616
9,1.1261,5,2,0.44106
7,0.69261,5,5,0.0052023
12,1.1545,2,3,0.65214
7,0.61493,4,5,0.042702
6,0.65403,2,4,1.2725
6,0.96542,5,2,0.080388
10,0.91354,4,5,1.0906
10,1.013,4,3,0.97471
4,0.61745,5,4,0.24887
4,0.58077,2,3,0.17431
4,0.406,3,2,0.67544
12,1.0548,5,3,0.55487
7,0.69841,5,5,0.10557
10,1.101,4,4,0.32142
13,1.0383,2,5,0.79797
9,0.97891,2,2,0.39049
10,0.99188,2,4,1.3876
8,0.79498,3,2,0.030239
6,0.62124,4,3,0.37963
12,1.0405,5,4,0.93002
8,0.86726,2,3,0.43693
10,0.95684,5,5,0.64161
5,0.60107,3,5,0.24318
13,1.3832,3,2,0.50569
7,0.67434,3,3,0.14791
12,0.95026,4,2,0.40041
5,0.73134,3,5,0.50279
13,0.97208,2,3,0.78031
8,0.75116,4,3,0.050161
13,0.9574,4,3,0.36869
7,0.56377,4,5,0.065396
9,0.76865,2,3,0.5369
5,0.54082,3,3,0.029444
11,0.87453,5,4,0.1745
13,1.5441,3,4,0.53633
8,0.89493,2,5,0.82377
11,1.0221,2,5,0.99359
4,0.686,3,4,0.0043432
8,1.1995,3,4,0.54541
7,0.85789,4,4,0.98191
10,0.9813,2,4,1.7731
8,0.93198,2,2,1.1687
7,0.62291,5,2,0.38476
10,1.3622,2,5,2.0475
10,0.99937,2,2,0.60493
5,0.87656,2,3,0.78065
5,0.67686,3,3,0.44361
6,0.73902,2,2,1.4024
5,0.83185,2,2,0.68456
4,0.54816,3,5,0.27289
6,0.67765,4,3,0.055487
7,0.67416,2,3,0.76819
8,0.78737,5,4,0.43283
4,0.5087,2,4,0.10011
7,0.60391,3,3,0.017547
6,0.59485,5,5,0.095747
4,0.5815,4,2,0.059088
11,1.1421,3,3,0.7568
6,0.65699,3,3,0.76075
6,0.85034,2,4,0.71554
6,0.61277,2,5,0.5271
12,0.88764,3,5,0.40715
12,1.2931,2,2,0.45772
5,0.75241,5,3,0.10109
10,0.92587,3,4,0.18963
8,0.79553,3,2,0.32666
13,1.6656,3,4,0.88995
11,0.90249,3,5,0.17684
7,0.81152,2,5,0.54664
8,0.85204,5,4,0.57141
6,0.74112,4,3,0.66623
11,1.3767,3,3,0.26768
7,0.56983,5,5,0.76162
13,0.98965,5,4,0.47537
11,0.9195,5,3,2.0798
9,1.1052,2,5,0.46862
8,0.66875,3,2,1.5697
9,0.79668,4,2,0.5877
10,0.73802,5,3,0.46261
7,0.71454,2,5,0.24175
12,1.3528,5,3,0.24699
7,0.83526,3,4,0.068005
8,0.56271,3,3,0.28293
10,1.0059,3,4,0.29809
13,1.6791,4,4,0.95452
13,1.3119,4,5,1.6133
9,0.70527,2,5,0.7612
11,1.1524,3,5,0.55757
7,0.53234,3,3,0.11868
8,0.69002,5,2,0.071011
6,0.58051,5,4,0.25537
5,0.50606,2,2,0.82838
10,0.92835,5,3,0.3471
5,0.54454,3,5,0.53936
11,0.96572,5,4,0.66223
7,0.57439,3,5,0.32942
12,1.0437,2,2,0.21131
13,1.361,5,3,0.70845
9,0.75269,2,4,0.054228
12,1.0728,4,3,0.4041
6,0.6796,5,4,0.2413
6,0.58375,3,3,0.19918
8,0.78397,4,4,0.21699
8,0.94541,2,5,0.19634
10,0.83631,5,5,0.050361
5,0.487,4,3,0.15658
4,0.46353,2,5,0.37914
13,1.3974,5,2,0.90768
9,0.95908,5,3,0.45986
4,0.58871,3,5,0.46802
5,0.45509,4,5,0.17969
8,0.74458,2,2,0.23807
12,1.5045,2,2,1.0262
5,0.92727,5,5,0.19635
4,0.75681,5,3,0.67331
4,0.5562,5,5,0.42167
11,1.4074,4,4,1.549
13,2.1195,3,5,0.65932
6,0.74639,5,2,0.39786
13,1.6199,5,5,0.35042
9,0.9695,3,5,0.41477
9,1.0006,4,5,0.3451
8,0.70102,5,4,0.31602
11,0.92311,5,4,1.7484
13,1.5288,5,5,0.81543
4,0.5223,4,2,0.73892
6,0.73041,4,5,1.4859
10,0.79886,3,3,0.31898
9,0.9121,5,3,0.13115
12,1.0214,5,4,0.20823
12,1.0787,2,2,1.9899
13,1.7576,3,5,0.24291
8,0.72818,4,3,0.026668
4,0.59179,4,2,0.02378
6,0.65118,3,5,0.85563
11,1.0322,3,2,1.2495
9,0.75095,2,3,0.93702
5,0.57572,2,5,0.36025
5,0.55014,2,5,0.31477
8,0.87786,2,3,0.47808
5,0.61636,5,5,0.094887
4,0.65076,4,5,0.0
6,0.56121,4,2,0.078452
4,0.56347,2,2,0.0
5,0.6456,2,4,0.36834
7,0.89338,2,3,0.3187
11,1.496,3,3,0.4614
12,1.0118,5,3,2.2641
12,1.337,4,2,0.84255
4,0.44432,4,4,0.27499
